"id","number_of_rooms","max_occupancy","pricing_per_person_activated","max_adults","events_allowed","pets_allowed","smoking_allowed","children_allowed"
"43369",1,3,True,2,False,False,False,False
"33157",1,22,False,22,False,False,False,False
"8614",1,4,True,4,False,False,False,False
"56432",1,5,False,5,False,False,False,False
"76641",1,6,False,6,False,False,False,False
"59311",1,8,False,8,False,False,False,False
"79943",2,2,False,2,False,False,False,False
"31261",1,10,False,10,False,False,False,False
"17360",1,2,True,2,False,False,False,False
"7467",2,2,True,2,False,False,False,False
"92732",2,3,False,3,False,False,False,False
"84235",1,8,False,8,False,False,False,False
"89275",4,1,False,1,False,False,False,False
"52359",1,8,False,8,False,False,False,False
"70732",1,2,False,2,False,False,False,False
"58830",1,2,False,2,False,False,False,False
"57399",1,6,True,1,False,False,False,False
"58574",1,3,True,3,False,False,False,False
"57917",1,2,False,1,False,False,False,False
"58602",1,6,False,6,False,False,False,False
"50322",1,4,True,1,False,False,False,False
"33257",1,3,False,3,False,False,False,False
"14963",1,4,False,4,False,False,False,False
"57400",1,6,True,6,False,False,False,False
"91461",1,10,False,10,False,False,False,False
"54898",1,2,False,2,False,False,False,False
"73911",1,8,True,8,False,False,False,False
"58413",1,2,False,2,False,False,False,False
"54899",1,2,False,2,False,False,False,False
"58417",1,2,False,2,False,False,False,False
"54443",1,4,False,3,False,False,False,False
"57439",1,6,True,6,False,False,False,False
"57440",1,8,True,8,False,False,False,False
"65253",1,2,False,2,False,False,False,False
"60657",1,2,True,2,False,False,False,False
"64493",1,5,True,5,False,False,False,False
"57403",1,4,True,4,False,False,False,False
"57402",1,8,True,8,False,False,False,False
"58373",1,6,True,6,False,False,False,False
"74148",6,2,True,2,False,False,False,False
"57918",1,3,False,3,False,False,False,False
"22644",1,2,False,2,False,False,False,False
"60769",1,4,False,4,False,False,False,False
"7470",1,3,True,3,False,False,False,False
"57405",1,5,True,5,False,False,False,False
"57404",1,6,True,6,False,False,False,False
"58835",1,2,True,2,False,False,False,False
"52774",1,2,False,2,False,False,False,False
"87029",1,2,True,2,False,False,False,False
"62160",1,4,False,4,False,False,False,False
"57464",1,4,True,4,False,False,False,False
"70037",1,6,False,6,False,False,False,False
"49927",1,4,False,4,False,False,False,False
"59315",4,4,False,2,False,False,False,False
"58828",1,2,True,2,False,False,False,False
"33932",1,2,False,2,False,False,False,False
"82794",1,2,True,2,False,False,False,False
"38684",1,8,False,8,False,False,False,False
"57441",1,5,True,5,False,False,False,False
"59317",1,2,False,2,False,False,False,False
"74895",1,2,True,2,False,False,False,False
"82795",1,3,True,3,False,False,False,False
"49882",1,6,True,6,False,False,False,False
"76478",3,1,False,1,False,False,False,False
"10590",1,3,True,3,False,False,False,False
